id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
133,ПАСТУХ (КОРОВ),HERDSMAN (OF COWS),(зинел) ихьва,(zinel) ixʷa,,ихьващуб,ихьу,n,,115,0,0,"Человек, пасущий крупный рогатый скот.",Пастух отвёл скотину домой.
134,ЧАБАН,SHEPHERD,(чахъудал) ихьва,(čaqudal) ixʷa,,ихьващуб,ихьу,n,,115,0,0,"Человек, пасущий овец.",Чабан отвёл овец на пастбище.
135,ХЛЕВ,CATTLE SHED,бекьи,beʟʼi,,бекьул,бекьалди,n,бекьикӏуре зине  - коровы в хлеву,392,0,0,Крытое сооружение для крупного рогатого скота.,Загони скотину в хлев.
136,ОВЧАРНЯ,SHEEP SHED,чахъудал бекьи,čaqudal beʟʼi,,чахъудал бекьул,чахъудалӏе бекьалди,n,ригьа бекьи эгу - овцы в овчарне,0,0,0,Крытое сооружение для овец.,Загони овец в овчарню.
136,ОВЧАРНЯ,SHEEP SHED,ригьал бекьи,rihal beʟʼi,,бекьул,бекьалди,n,ригьа бекьи эгу - овцы в овчарне,0,0,0,Крытое сооружение для овец.,Загони овец в овчарню.
137,ЗАГОН ДЛЯ ДОЙКИ ОВЕЦ,SHEEP MILKING SHED,коли,kоli,,колилул,"колибади, колаби",n,ригьа кьирдуб колили эгу - овцы в загоне для дойки,393,0,0,"Ограждённое или окружённое место, в котором доят овец.",Овцы идут на место дойки.
138,СЕНОВАЛ,HAYLOFT,бегъва,beʁʷa,,бегъвал,бегъвабади,n,бегъвани - на сеновале,394,0,0,Постройка для хранения сена.,Мы заполнили сеновал сеном.
139,ГУМНО,THRESHING-FLOOR,гьинцӏцӏу,hincʼːu,,гьинцӏцӏул,"гьинцӏцӏубади, гьинцӏцӏаби",n,усалиби гьинцӏцӏи эгу - быки на гумне,397,0,0,"Площадка для молотьбы пшеницы, чаще всего открытая. То же, что «ток».",На току молотят пшеницу.
140,СНОП,SHEAF,коли,kоli,,"колилул, колилъил","колди, колаби",n,,398,0,0,"Базовый термин для связки злаков, которую можно взять в охапку и перенести. Если в языке имеется отдельный термин для снопа сена, использовать термин именно для злаков.",Мы связали пшеницу в снопы. [Приложить иллюстрацию]
141,СТОГ,STACK,ихитӏар,iχitʼar,,"ихитӏарил, ихитӏарлъил",ихитӏарди,n,,399,0,0,"Базовый термин для злаков, собранных для хранения на поле. Если в языке имеется отдельный термин для стога сена, использовать термин именно для злаков.",Мы сложили снопы в стог. [Приложить иллюстрацию]
142,СТОГ БОЛЬШОЙ,LARGE STACK,гӏарахъ,ʕaraq,,гӏарахъул,гӏарахъиби,n,,0,0,0,Наиболее распространённый вид крупного стога (скирда и т.д.).,Мелкие стога собрали в большой стог. - Ихитӏардал гӏарахъ гигьи.
143,КОРОВА,COW,зюНв,zʲũw,,зюНвлъил,зине,n,,122,0,0,"Взрослая женская особь коровы. Как правило, нейтральный термин для коровы вообще.","1. Корова даёт молоко. 2. В нашем селении держат коров (КРС), а овец не держат."
144,БЫК,BULL,бугъа,buʁa,,бугъил,бугъиби,n,,123,0,0,"Взрослая некастрированная особь коровы мужского пола, бык-производитель.","1. Бык защищает стадо. 2. Поле вспахивают не на быках, а на волах."
145,ВОЛ,OX,уНса,ũsa,,уНсул,уНсалиби,n,,124,0,0,Кастрированный взрослый бык.,1. Я вспахиваю поле при помощи волов. 2. Вол не даёт потомства.
146,ТЕЛКА,HEIFER,чӏара,čʼara,,чӏарул,чӏариби,n,,125,0,0,"Молодая особь коровы от 1 до 3 лет, ещё не отелившаяся.","1. Тёлок и бычков пасут отдельно. 2. Эта корова ещё не отелялась, она тёлка."
147,БЫЧОК,BULL-CALF,гъечӏа,ʁečʼa,,гъечӏул,гъечӏиби,n,,127,0,0,"Молодая особь быка, от 1 до 3 лет.",Бычков пасут отдельно от взрослых коров.
148,ТЕЛЁНОК,CALF,гьанигьа,haniha,,гьанигьул,гьанигьиби,n,,126,0,0,Особь коровы до 1 года.,Вчера наша корова родила телёнка.
149,МЕТКА НА УХЕ ОВЦЫ,EARMARK,гӏанжи,ʕanži,,гӏанжил,гӏанжибади,n,,86,0,0,"Надрез на ухе овцы, обозначающий её собственника.",У овец каждой семьи своя метка.
150,ОВЦА (ОБЩЕЕ СЛОВО),SHEEP (IRRESP. OF GENDER),ишикӏвал,išikʼʷal,,ишикӏваллъил,ишикӏвалди,n,,117,0,0,Общее слово для возрослой особи овцы.,"Овец разводят для мяса, шерсти и молока."
150,ОВЦА (ОБЩЕЕ СЛОВО),SHEEP (IRRESP. OF GENDER),ригьа,riha,,ригьал,ригье,n,,117,0,0,Общее слово для возрослой особи овцы.,"Овец разводят для мяса, шерсти и молока."
150,ОВЦА (ОБЩЕЕ СЛОВО),SHEEP (IRRESP. OF GENDER),чахъу,čaqu,,чахъул,чахъуди,n,,117,0,0,Общее слово для возрослой особи овцы.,"Овец разводят для мяса, шерсти и молока."
151,БАРАН,RAM,куНй,kũj,,"куНйл, куНйлъил",куНди,n,,119,0,0,Взрослая особь овцы мужского пола.,"Баран не даёт молока, а овцематка — даёт."
152,ОВЦЕМАТКА,EWE,келъидуб чахъу,keɬidub čaqu,,келъидуб чахъул,келъидуре чахъуди,n,,118,0,0,"Взрослая особь овцы женского пола, способная рожать детей.","1. Овцематка родила ягнёнка. 2. Баран не даёт молока, а овцематка — даёт."
153,ЯГНЁНОК (< 1 ГОДА),LAMB (< 1 YEAR),цӏцӏири,cʼːiri,,цӏцӏирал,цӏцӏираби,n,,120,0,0,Особь овцы до 1 года.,1. Овцематка родила ягнёнка. 2. У ягнят мало шерсти.
154,ОВЦА МОЛОДАЯ (1-3 ГОДА),YOUNG SHEEP (1-3 YEARS),гьаркӏкӏин,harkʼːin,,гьаркӏкӏинал,гьаркӏкӏинди,n,,121,0,0,Молодая особь овцы женского пола от 1 до 3 лет.,Молодые овцы не рожают.
155,БАРАШЕК (1-3 ГОДА),YOUNG RAM (1-3 YEARS),леблаб,leblab,,леблаблъил,лебларе,n,,0,0,0,"Молодая особь овцы мужского пола, от 1 до 3 лет.",1. Барашки не дают потомства. 2. Мясо барашка вкуснее мяса взрослого барана.
156,КАБАН,BOAR,болъун,bоɬun,,болъунал,болъунади,n,,148,0,0,"Наименее маркированный в данной культуре представитель семейства свиней (Suidae). В Дагестане — дикий кабан (Sus scrofa). В культурах с развитым свиноводством — как правило, домашняя свинья (Sus scrofa domesticus).",1. Кабаны/свиньи растоптали поле. 2. Мусульманам нельзя есть мясо кабана/свиньи.
157,КОЗА,SHE-GOAT,цӏцӏиналӏу,cʼːinaʟu,,цӏцӏиналӏул,цӏцӏиналӏиби,n,,135,0,0,"Общее слово для взрослой особи козы (как правило, также для козы женского пола).",1. У коз бывают рога и борода. 2. Коза родила козлёнка.
158,КОЗЁЛ,HE-GOAT,тӏукя,tʼukʲa,,тӏукул,тӏукяди,n,,136,0,0,Взрослая особь козы мужского пола.,"1. Козёл ходит перед стадом. 2. Коза даёт молоко, козёл — нет."
159,КОЗА МОЛОДАЯ (1-3 ГОДА),YOUNG SHE-GOAT (1-3 YEARS),гӏеккин,ʕekːin,,гӏеккинал,гӏеккинди,n,,138,0,0,Особь козы от 1 до 3 лет.,1. Молодые козы не могут иметь детей. 2. Молодые козы не дают молока.
160,КОЗЛЁНОК,KID (< 1 YEAR),цаку,caku,,цакул,цакуди,n,,137,0,0,Особь козы или козла до 1 года.,Наша коза вчера родила козлёнка.
161,ЛОШАДЬ,HORSE (IRRESP. OF GENDER),хьони,xоni,,хьонил,хьонаби,n,,128,0,0,Нейтральное слово для домашнего животного вида <i>equus caballus.</i>,1. Раньше люди ездили в поездки на лошадях. 2. Арбу запрягают лошадьми или ослами.
162,ЖЕРЕБЕЦ,STALLION,барти,barti,,бартил,бартаби,n,,130,0,0,Некастрированная взрослая особь лошади мужского пола.,"Жеребец сильнее, чем кобыла."
163,КОБЫЛА,MARE,гӏибчва,ʕibčʷa,,гӏибчвал,гӏибчвади,n,,129,0,0,Взрослая особь лошади мужского пола.,1. Вчера наша кобыла родила жеребёнка. 2. Кобыла слабее жеребца.
164,ЖЕРЕБЁНОК,FOAL,тай,taj,,тайл,табди,n,,131,0,0,"Детёныш лошади, ещё не отлучённый от груди. (Concepticon)",Вчера наша кобыла родила жеребёнка.
165,ОСЕЛ,DONKEY,хӏамар,ħamar,,хӏамарил,хӏамариби,n,,132,0,0,Домашнее животное вида <i>Equus asinus</i>.,1. Раньше поклажу возили на ослах. 2. Осёл меньше лошади.
166,ОСЛЁНОК,FOAL OF DONKEY,кӏянкӏя,kʼʲankʼʲa,,кӏянкӏул,кӏянкӏиби,n,,133,0,0,"Детёныш осла. Если для молодых ослов есть несколько терминов, используется термин для новорождённого.",Вчера наша ослица родила ослёнка.
167,МУЛ,MULE,хӏорцӏцӏим,ħоrcʼːim,,хӏорцӏцӏимал,хӏорцӏцӏимди,n,,134,0,0,Гибрид осла мужского пола и лошади женского пола. (Concepticon),Мул рождается от осла и кобылы.
168,ПЕТУХ,ROOSTER,хъутӏа,qutʼa,,хъутӏил,хъутӏиби,n,,144,0,0,"Курица (<i>Gallus gallus domesticus</i>) мужского пола, домашняя птица. (Concepticon)",1. Утром петухи поют. 2. Один петух живёт с несколькими курами.
169,КУРИЦА,HEN,йигӏачу,jiʕaču,,йигӏачул,йигӏачиби,n,,143,0,0,Взрослая курица женского пола.,Куры несут яйца.
170,ЦЫПЛЁНОК,CHICK,йигӏачул балъа,jiʕačul baɬa,,йигӏачул балъул,йигӏачулӏе балъиби,n,,0,0,0,"Молодая особь курица, не достигшая зрелости. (Concepticon)",1. Вчера у нас вылупилось три цыплёнка. 2. Цыплята вылупляются из яиц.
171,ГУСЬ,GOOSE,хъаза,qaza,,хъазул,хъазади,n,,0,0,0,Водоплавающая птица (<i>Anser</i>) семейства утиных (<i>Anatidae</i>). (Concepticon),1. Гуси любят ровное место. 2. Этот гусь любит щипаться.
172,УТКА,DUCK,ордик,оrdik,,ордикул,ордикиби,n,,0,0,0,Водоплавающая птица семейства утиных с плоским клювом и перепончатыми лапами. (Concepticon),Утки водятся на больших реках и озёрах.
173,ГНЕЗДО,NEST,берхьван,berxʷan,,берхьванул,берхьванди,n,,169,0,0,"Структура, которую строят птицы на деревьях, в которой они живут и откладывают яйца.",1. Птицы откладывают яйца в своих гнёздах. 2. Я видел на кустарнике гнездо воробья.
174,ПТИЦА,BIRD,щакиба,šːakiba,,щакибал,щакибди,n,,168,12,6,"Самое общее слово для представителя класса птиц (<i>Aves</i>). Когда это возможно, избегать специальных слов для больших, маленьких или хищных птиц. Избегать специальных слов для домашних птиц (ср. англ. <i>fowl</i>).",1. В лесу поют птицы. 2. Птицы откладывают яйца.
175,ЦАПЛЯ,HERON,хӏанкъва,ħanqʼʷa,,хӏанкъвал,хӏанкъвабади,n,,162,0,0,"Длинноногая, длинношеея болотная птица семейства цаплевых (<i>Ardeidae</i>). (Concepticon)",1. Цапли живут на болотах. 2. У цапли длинные ноги.
176,ОРЕЛ,EAGLE,цӏцӏуНй,cʼːũj,,цӏцӏуНйл,цӏцӏунди,n,,157,0,0,"Наиболее типичный для данного ареала представитель рода орлов (<i>Aquila</i>). В кавказском контексте это, вероятнее всего, беркут (<i>Aquila chrysaetos</i>).",1. Орёл большой и высоко летает. 2. Под той скалой находится орлиное гнездо.
177,ЯСТРЕБ,HAWK,хъарччигъа,qarčːiʁa,,хъарччигъал,хъарччигъади,n,,157,0,0,"Наиболее типичный для данного ареала представитель рода настоящих ястребов (<i>Accipiter</i>). В связи со сложностью идентификации лексема входит в необязательную часть списка и вводится только в случае, если консультант знаком с этой областью лексики.",Ястреб ловит кур.
178,СОКОЛ,FALCON,хъиргъу,qirʁu,,хъиргъул,хъиргъубади,n,,157,0,0,"Наиболее типичный для данного ареала представитель рода соколов (Falco). В связи со сложностью идентификации лексема входит в необязательную часть списка и вводится только в случае, если консультант знаком с этой областью лексики.",Сокол охотится на мышей.
179,ЛЕТУЧАЯ МЫШЬ,BAT,къехьилул щакиба,qʼexilul šːakiba,,къехьилул щакибул,къехьилулӏе щакибди,n,,0,0,0,"Ночное летающее млекопитающее, похожее на мышь с перепончатыми крыльями.",1. Летучие мыши летают в темноте. 2. Летучая мышь — не птица.
180,ВОРОНА,CROW,гъанди,ʁandi,,гъандил,гъанде,n,,158,0,0,"Чёрная птица рода воронов (<i>Corvus</i>). Поскольку отличить ворону от других похожих чёрных птиц (например, воронов) бывает непросто, вводится имя наиболее типичного представителя этого рода.",1. Вороны громко каркают. 2. Ворона унесла сыр.
181,СОРОКА,MAGPIE,чаргъанду,čarʁandu,,чаргъандул,чаргъандубади,n,,160,0,0,Чёрно-белая птица из рода сорок (<i>Pica</i>).,"У сороки белое брюхо, у вороны — чёрное."
182,ГАЛКА,JACKDAW,чӏчӏигъа,čʼːiʁa,,чӏчӏигъал,чӏчӏигъади,n,,159,0,0,Маленькая птица семейства врановых (Coloeus monedula). Отличается от вороны прежде всего маленьким размером.,Галка меньше вороны.
183,ГОЛУБЬ,DOVE,гъугъу,ʁuʁu,,гъугъул,гъугъади,n,,166,0,0,Птица семейства голубиных (<i>Columbidae</i>). (Concepticon),1. Голубь ест остатки пищи. 2. Голуби людей не боятся.
184,ВОРОБЕЙ,SPARROW,хӏаквара,ħakʷara,,хӏакварал,хӏакварди,n,,0,0,0,Маленькая певчая птица из семейства воробьиных (<i>Passeridae</i>). (Concepticon),"1. Воробей меньше голубя. 2. Воробьи поют, а голуби нет."
185,СОВА,OWL,бугьу,buhu,,бугьул,бугьубади,n,,163,0,0,"Ночная хищная птица из семейства настоящих сов (Strigidae). Поскольку языковая номенклатура плохо соответствует научной, следует для значения ‘сова’ вводить птицу среднего размера, а для значения ‘филин’, — более крупного, если для неё есть отдельное слово.",1. Сова охотится ночью. 2. Сова ловит мышей.
186,ФИЛИН,EAGLE-OWL,бугьу,buhu,,бугьул,бугьубади,n,,0,0,0,"Ночная хищная птица из семейства настоящих сов (Strigidae). Поскольку языковая номенклатура плохо соответствует научной, следует для значения ‘сова’ вводить птицу среднего размера, а для значения ‘филин’, — более крупного, если для неё есть отдельное слово.",
187,КУКУШКА,CUCKOO,гигу,gigu,,гигул,гигубади,n,,161,0,0,Птица из семейства кукушковых (<i>Cuculidae</i>). Определяется прежде всего по характерному звуку.,В лесу громко поёт кукушка.
188,УЛАР,SNOWCOCK,рухьул йигӏачу,ruxul jiʕaču,,рухьул йигӏачул,рухьулӏе йигӏачиби,n,,164,0,0,Горная индейка (Tetraogallus caucasicus).,1. Улар живёт в горах. 2. Улар не умеет летать. 3. Улар больше курицы.
189,КУРОПАТКА,PARTRIDGE,гъагъиба,ʁaʁiba,,гъагъабул,гъагъибади,n,,165,0,0,"Птица из рода куропаток (Perdix), чаще всего Perdix perdix.",1. Куропатка меньше курицы. 2. Яйца куропатки бывают разноцветные.
190,ЛАСТОЧКА,SWALLOW,милъирщу,miɬiršːu,,милъирщу,милъирщуди,n,,167,0,0,Любая птица из семейства ласточковых (<i>Hirundinidae</i>). Характерный признак — разветвлённый хвост.,1. У ласточки хвост делится на две части. 2. Ласточка свила гнездо под крышей.
191,СОБАКА,DOG,гьой,hоj,,гьой,гьоди,n,,139,31,17,"Самое общее слово для представителя вида <i>canis familiaris</i>. Домашняя собака. Отличать от названий конкретных пород и специальных слов для собак определённого возраста или пола (‘щенок’, ‘сука’ и т.д.). (Kassian et al. 2010). Избегать названий охотничьих собак, напр. англ. <i>hound</i>. (CoBL)","1. Собака охраняет овец. 2. Собака живёт с человеком, а дикие звери — нет."
192,СУКА,FEMALE DOG,чиба,čiba,,чибал,чибади,n,,140,0,0,Взрослая собака женского пола.,Сука родила щенят.
193,ЩЕНОК,PUPPY OF DOG,кӏунцӏцӏи,kʼuncʼːi,,кӏунцӏцӏал,кӏунцӏцӏаби,n,,141,0,0,Детёныш собаки.,Щенок играется с кошкой.
194,ЗАЯЦ,HARE,кьанкӏяла,ʟʼankʼʲala,,кьанкӏялул,кьанкӏялди,n,,152,0,0,"Млекопитающее из семейства зайцевых (Leporidae), имеющее длинные уши, короткий хвост и задние лапы, которые короче передних и позволяют быстро бегать. (Concepticon)",Заяц убежал от волка.
195,КОШКА,CAT,кету,ketu,,кетул,кетаби,n,,142,0,0,"Четвероногое животное (<i>Felis silvestris</i>), которое живёт вблизи жилища людей и ловит мышей.","1. Кошка ловит мышей. 2. Кошку держат в доме, собаку — нет."
196,МЫШЬ,MOUSE,гьеркӏкӏва,herkʼʷːa,,гьеркӏкӏвал,гьеркӏкӏвади,n,,155,0,0,"Грызун из семейства мышиных (Muridae), имеющее длинный хвост, закруглённые уши и острый нос. При наличии отдельного слова для ‘крысы’ использовать наименее маркированное обозначение маленькой мыши.",1. Мыши съели весь хлеб. 2. Кошки ловят мышей.
197,КРЫСА,RAT,гӏанххвара,ʕanχʷːara,,гӏанххварал,гӏанххварди,n,,0,0,0,Мышеподобный грызун крупного размера.,
198,БАРСУК,BADGER,бакьуч,baʟʼuč,,бакьучил,бакьучиби,n,,153,0,0,Млекопитающее из рода барсуков (Meles) семейства куньих (Mustelidae).,
199,КУНИЦА,MARTEN,цакьу,caʟʼu,,цакьул,цакьубади,n,,154,0,0,"Пушной зверь рода ласок и хорьков (Mustela). Используется наиболее нейтральный термин для пушного зверя-домашнего вредителя и объекта охоты, так как выделить отдельные виды едва ли возможно.",1. Куница унесла курицу. 2. Из меха куницы можно сделать шубу.
200,БЕЛКА,SQUIRREL,хухуца,χuχuca,,хухуцал,хухуцади,n,,154,0,0,Один из грызунов рода белок (Sciurus) семейства беличьих (Sciuridae).,1. Белка ест орехи. 2. Белки живут в лесу.
201,ЁЖ,HEDGEHOG,гӏужрукъ,ʕužruqʼ,,гӏужрукъул,гӏужрукъди,n,,156,0,0,"Небольшое млекопитающее из подсемейства настоящих ежей (Erinaceinae), которое характеризуется колючей спиной и способностью сворачиваться в шар для защиты от нападения. (Concepticon)",1. Ёж колючий. 2. Ежи катятся при нападении.
202,РЫБА,FISH,ччугӏа,čːuʕa,,ччугӏил,ччугӏиби,n,,170,51,28,"Наиболее общее слово для живой рыбы (холоднокровное водное позвоночное с чешуёй, плавниками и жабрами). Избегать слов для уже пойманной, приготовленной или очищенной рыбы. Избегать специальных слов для речной или морской рыбы. (основано на CoBL)","1. Все рыбы живут в воде. 2. Птицы летают, а рыбы плавают. 3. Я хочу поймать эту рыбу."
203,ВОЛК,WOLF,бацӏа,bacʼa,,бацӏул,бацӏиби,n,,150,0,0,"Крупный дикий представитель семейства псовых (Canidae), близкий родственник собаки. (Concepticon)","1. Волки охотятся на зайцев. 2. Волки похожи на собак. 3. Волки живут в лесу, собаки охраняют людей."
204,МЕДВЕДЬ,BEAR,сиН,sĩ,,сиНл,синди,n,,149,0,0,"Особь любого вида семейства медвежьих (Ursidae). Крупное всеядное млекопитающее, живущее в лесу.",1. Медведи зимой спят. 2. Медведи любят есть мёд.
205,ЛИСА,FOX,сари,sari,,сарал,сараби,n,,151,0,0,"Небольшое хищное животное рода лисиц (Vulpes) семейства псовых (Canidae), чаще всего Vulpes Vulpes.",1. Лиса поймала курицу. 2. У лис большой хвост.
206,ОЛЕНЬ,DEER,ритӏучӏ,ritʼučʼ,,ритӏучӏил,ритӏучӏиби,n,,147,0,0,Самое общее слово для представитель семейства оленьих (Cervidae). Отличается большими рогами.,1. Олени живут высоко в горах. 2. У оленей большие рога.
207,ГОРНЫЙ КОЗЁЛ,CAPRA CAUCASICA,тӏукя,tʼukʲa,,тӏукул,тӏукяди,n,,145,0,0,Дикий козёл (Capra caucasica). Также известен как тур.,"1. Охотник убил горного козла. 2. Тур — это козёл, который живёт в горах."
208,КОСУЛЯ,ROE,магӏнац,maʕnac,,магӏнацул,магӏнациби,n,,146,0,0,Род оленей (Capreolus). Основной признак и отличие от оленей — небольшой размер и маленькие рога.,1. Косуля меньше оленя. 2. У косуль маленькие рога.
209,ВЕРБЛЮД,CAMEL,варани,warani,,варанил,варанди,n,,0,0,0,"Животное рода Camelus. На Кавказе не эндемичен, но известен с давних времён; термин для верблюда реконструируется для правосточнокавказского.",1. Верблюды водятся в жарких местах. 2. Верблюд может долго жить без воды.
210,ВОШЬ,LOUSE,нацӏцӏи,nacʼːi,,нацӏцӏил,нацӏцӏе,n,,187,98,50,"Головная вошь как обычный паразит человека. Отличать от платяной вши, лобковой вши, травяной вши и т. п., а также от гниды. (GLD)",1. У него по макушке ползет большая вошь. (GLD) 2. У него нет вшей. (GLD)
211,ГНИДА,NIT,тӏана,tʼana,,тӏанал,тӏанади,n,,188,0,0,"Личинка вши, которая иногда встречается в волосах людей. (Concepticon)",1. Гниды бывают под волосами. 2. Гнида — личинка вши.
212,БЛОХА,FLEA,чӏантӏи,čʼantʼi,,чӏантӏил,чӏантӏе,n,,186,0,0,"Кровососущий паразит, встречающийся на теле млекопитающих, прежде всего собак.",1. Шуба полна блох. 2. На этой собаке много блох.
213,ПИЯВКА,LEECH,гуриж,guriž,,гурижул,гурижиби,n,,175,0,0,"Кольчатые кровососущие черви, обитающие в водоёмах. Используются в традиционной медицине.",1. Пиявки живут в воде. 2. Пиявка сосёт кровь. 3. Раньше болезни лечили пиявками.
214,МУРАВЕЙ,ANT,хӏарцӏцӏа,ħarcʼːa,,хӏарцӏцӏал,хӏарцӏцӏади,n,,181,208,0,"Любое насекомое из семейства муравьёв (Formicidae). Маленькие крупноголовые насекомые, живущие в организованных колониях (муравейниках). (Concepticon)",1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.
215,СЛЕПЕНЬ,GADFLY,нукӏкӏя,nukʼːja,,"нукӏкӏул, нукӏкӏял",нукӏкӏяди,n,,177,0,0,Насекомое семейства слепней (Tabanidae). Следует указывать нейтральный термин для крупного кровососущего насекомого (крупнее комара).,1. Слепень больно кусается. 2. Слепень больше комара.
216,МОЛЬ,MOTH,реса,resa,,ресал,ресабади,n,,180,0,0,"Группа бабочек (Lepidoptera) небольшого размера. Домашние вредители, которые портят шерстяные изделия и зерно.",1. Моль съела шапку. 2. В мешке с зерном завелась моль.
217,КЛЕЩ,MITE,гьельи,helʔi,,гьельил,гьельибади,n,,185,0,0,"Насекомые подкласса клещей (Acari) членистоногих. Паразитируют на млекопитающих, в том числе на человеке, и сосут их кровь.",1. На груди скотины бывает много клещей. 2. Клещи живут в высокой траве.
218,КЛОП,BEDBUG,чӏантӏи,čʼantʼi,,чӏантӏил,чӏантӏе,n,,189,0,0,"Постельный клоп (Cimex lectularius). Насекомые, живущие в постелях и питающиеся кровь людей, чаще всего ночью.","1. Эта постель полна клопов. 2. Если в доме не убираться, в нём заведутся клопы."
219,ПАУК,SPIDER,ссиндаркьу,sːindarʟʼu,,ссиндаркьул,ссиндаркьуди,n,,182,0,0,"Восьминогое насекомое отряда пауков, плетущее паутину.",1. В углу комнаты паук сплёл паутину. 2. Пауки едят мух.
220,ПАУТИНА,SPIDER WEB,ниси,nisi,,нисил,нисибади,n,,0,0,0,"Сеть, сотканная пауком для ловли мух.",1. В углу комнаты паук сплёл паутину. 2. Муха попала в паутину.
221,ПЧЕЛА,BEE,пера,pera,,перал,перади,n,,178,0,0,"Насекомые, живущие в колониях (ульях), опыляющие цветы и делающие мёд.",1. Пчёлы делают мёд. 2. В соседнем селении держат пчёл.
222,ВОСК,BEESWAX,щиру,šːiru,,щирул,-,n,,0,0,0,"Материал, который пчёлы используют для строительства медовых сот.","1. Мёд едят, а воск — нет. 2. Соты сделаны из воска."
223,УЛЕЙ,BEEHIVE,гьанур,hanur,,гьанурлъил,гьанурди,n,,0,0,0,Сооружение для домашних пчёл.,Пчёлы живут в ульях.
224,ОСА,WASP,кьижур,ʟʼižur,,кьижурал,кьижурди,n,,0,0,0,"Летающее, жалящее насекомое, напоминающее пчелу; обычно жёлто-чёрное. (Concepticon)","1. Оса сильно кусает. 2. Если осу не трогать, она не укусит. 3. Пчёлы делают мёд, осы — нет."
225,МУХА,FLY,тӏунтӏу,tʼuntʼu,,тӏунтӏул,тӏунтӏади,n,,176,211,0,"Самое общее слово для мухи, представителя отряда двукрылых (Diptera).",1. Мухи садятся на еду. 2. В жару бывает много мух.
226,КОМАР,MOSQUITO,кӏкӏара,kʼːara,,кӏкӏарал,кӏкӏаради,n,,179,0,0,"Небольшое летающее насекомое семейства комаров (Culicidae), кусающее и сосущее кровь. (Concepticon)",1. Ночью меня укусил комар. 2. Комар пьёт кровь. 3. Комар меньше слепня.
227,ЧЕРВЬ ЗЕМЛЯНОЙ,EARTHWORM,гӏунщиххир,ʕunšːiχːir,,гӏунщиххирлъил,гӏунщиххирди,n,,174,204,109,"Земляной червь. Отличать от №106 ‘змея’, а также от ‘глиста’ и ‘личинок’ (вкл. ‘гусениц’). (GLD)","1. У змеи есть глаза, а у червя нету. (GLD)  2. Вон червь выполз из земли. (GLD)"
228,ЗМЕЯ,SNAKE,беркя,berkʲa,,беркул,беркяди,n,,173,151,106,"Самое общее слово для змеи, отличать от значения ‘червь’.","1. У змеи есть глаза, а у червя нету. (GLD) 2. Птицы летают в небе, а змеи ползают по земле. (GLD) 3. Змея греется на солнце. (GLD)"
229,СВЕТЛЯЧОК,FIREFLY,канчӏилдиру,kančʼildiru,,канчӏилдирулъил,канчӏилдирди,n,,0,0,0,"Небольшой жук, светящийся в темноте (семейство светляков, Lampyridae). (Concepticon)",1. Светлячки светятся в темноте. 2. Летом бывает много светлячков.
230,БАБОЧКА,BUTTERFLY,ликӏучӏир,likʼučʼir,,ликӏучӏирлъил,ликӏучӏирди,n,,183,0,0,"Самое общее слово для представителя отряда чешуекрылых (Lepidoptera), активного днём. Отличать от слов для ночных бабочек (ср. рус. <i>мотылёк</i>), гусениц и моли.","1. Бабочки летают около цветов. 2. Бабочки летают днём, мотыльки — ночью."
231,КУЗНЕЧИК,GRASSHOPPER,гъацӏа,ʁacʼa,,гъацӏул,гъацӏади,n,,184,0,0,"Насекомое с длинными задними лапками, которое может высоко прыгать и издаёт высокий резкий звук движением задних лапок и крыльев (стрекочет). (Concepticon)",1. В траве прыгают кузнечики. 2. Кузнечик стрекочет.
232,УЛИТКА,SNAIL,чӏакъачӏакъа,čʼaqʼačʼaqʼa,,чӏакъачӏакъалъил,чӏакъачӏакъади,n,,0,0,0,Брюхоногий моллюск со спиральной раковиной. (wiki),1. Во влажном месте бывает много улиток. 2. Улитки ползают медленно.
233,ЛЯГУШКА,FROG,къуркъу,qʼurqʼu,,къуркъул,къуркъади,n,,171,0,0,"Бесхвостое земноводное зелёного цвета, способное далеко прыгать и издающее квакающие звуки.",1. Лягушки живут в болоте. 2. Лягушки зелёные.
234,ЯЩЕРИЦА,LIZARD,кӏанччи,kʼančːi,,кӏанччил,кӏанччаби,n,,172,0,0,Подотряд пресмыкающихся из отряда чешуйчатых. Отличаются от змей наличием конечностей.,1. Ящерицы любят жару. 2. У ящериц четыре лапы и длинные хвосты.
235,МЫЧАТЬ,MOO,гӏумаледу,ʕumadegu,гӏумада эгу (гӏумадегу),гӏумали,гӏумалиби,v,,153,0,0,"Производить звук, издаваемый коровой.",Коровы мычат.
236,БЛЕЯТЬ (ОВЦА),BLEAT (SHEEP),багӏаледу,baʕadegu,багӏада эгу (багӏадегу),багӏали,багӏалиби,v,,155,0,0,"Производить звук, издаваемый овцой.",Овцы блеют.
237,БЛЕЯТЬ (КОЗА),BLEAT (GOAT),меъэледу,meʔedegu,меъэда эгу (меъэдегу),багӏали,меъэлиби,v,,154,0,0,"Производить звук, издаваемый козой.",Козы блеют.
238,РЖАТЬ,NEIGH,хӏихӏиледу,ħiħidegu,хӏихӏида эгу (хӏихӏидегу),хӏихӏили,хӏихӏилиби,v,,156,0,0,"Производить звук, издаваемый лошадью.",Лошади ржут.
